COUNT,FOR_TEN,FOR_CATEGO,STATE,FOR_BURNS,FOR_BURN_T
4515,OCL,Native forest,Qld,0,Forest not burnt
636,ND,Native forest,Qld,0,Forest not burnt
12318,PRIV,Native forest,Qld,0,Forest not burnt
236577, ,Non-forest,Qld,-9, 
2001974, ,Non-forest,Qld,-9, 
41610819, ,Non-forest,Qld,-9, 
779, ,Non-forest, ,-9, 
139,PRIV,Native forest,Qld,0,Forest not burnt
10273,PRIV,Native forest,Qld,0,Forest not burnt
1387,PRIV,Native forest,Qld,0,Forest not burnt
6830,PRIV,Native forest,Qld,0,Forest not burnt
33,ND,Native forest,Qld,0,Forest not burnt
1302,OCL,Native forest,Qld,0,Forest not burnt
3873,PRIV,Native forest,Qld,0,Forest not burnt
530,PRIV,Native forest,Qld,0,Forest not burnt
528,OCL,Native forest,Qld,0,Forest not burnt
2115,OCL,Native forest,Qld,0,Forest not burnt
766,OCL,Native forest,Qld,0,Forest not burnt
3674,ND,Native forest,Qld,0,Forest not burnt
4643,PRIV,Native forest,Qld,0,Forest not burnt
60366,PRIV,Native forest,Qld,0,Forest not burnt
12615,PRIV,Native forest,Qld,0,Forest not burnt
204372,PRIV,Native forest,Qld,0,Forest not burnt
14597,PRIV,Native forest,Qld,0,Forest not burnt
138734,PRIV,Native forest,Qld,0,Forest not burnt
1995,PRIV,Native forest,Qld,0,Forest not burnt
752487,PRIV,Native forest,Qld,0,Forest not burnt
644,PRIV,Native forest,Qld,2,Unplanned burns only
22327,PRIV,Native forest,Qld,1,Unplanned burns only
35,PRIV,Native forest,Qld,2,Unplanned burns only
26851,PRIV,Native forest,Qld,1,Unplanned burns only
164,PRIV,Native forest,Qld,1,Unplanned burns only
1603, ,Non-forest, ,-9, 
37,PRIV,Native forest,Qld,0,Forest not burnt
162,PRIV,Native forest,Qld,1,Unplanned burns only
4244335,PRIV,Native forest,Qld,0,Forest not burnt
20906,PRIV,Native forest,Qld,1,Unplanned burns only
9709,PRIV,Native forest,Qld,0,Forest not burnt
110890,PRIV,Native forest,Qld,0,Forest not burnt
16195,PRIV,Native forest,Qld,1,Unplanned burns only
281335,PRIV,Native forest,Qld,1,Unplanned burns only
20693,PRIV,Native forest,Qld,0,Forest not burnt
1046,PRIV,Native forest,Qld,0,Forest not burnt
455,PRIV,Native forest,Qld,0,Forest not burnt
51716,PRIV,Native forest,Qld,0,Forest not burnt
10634,PRIV,Native forest,Qld,1,Unplanned burns only
57254,PRIV,Native forest,Qld,0,Forest not burnt
197350,PRIV,Native forest,Qld,1,Unplanned burns only
354,PRIV,Native forest,Qld,0,Forest not burnt
144713,PRIV,Native forest,Qld,0,Forest not burnt
688,PRIV,Native forest,Qld,1,Unplanned burns only
5838,OCL,Native forest,Qld,0,Forest not burnt
16305,PRIV,Native forest,Qld,2,Unplanned burns only
415,PRIV,Native forest,Qld,1,Unplanned burns only
20,PRIV,Native forest,Qld,1,Unplanned burns only
10303,PRIV,Native forest,Qld,0,Forest not burnt
4683,PRIV,Native forest,Qld,2,Unplanned burns only
7,PRIV,Native forest,Qld,2,Unplanned burns only
49,PRIV,Native forest,Qld,2,Unplanned burns only
633,PRIV,Native forest,Qld,2,Unplanned burns only
7831,PRIV,Native forest,Qld,1,Unplanned burns only
375,PRIV,Native forest,Qld,1,Unplanned burns only
12037,PRIV,Native forest,Qld,1,Unplanned burns only
33888,PRIV,Native forest,Qld,0,Forest not burnt
3024,PRIV,Native forest,Qld,1,Unplanned burns only
1766, ,Non-forest, ,-9, 
655,PRIV,Native forest,Qld,2,Unplanned burns only
418,PRIV,Native forest,Qld,2,Unplanned burns only
30,PRIV,Native forest,Qld,2,Unplanned burns only
775293,PRIV,Native forest,Qld,0,Forest not burnt
3,PRIV,Native forest,Qld,2,Unplanned burns only
79997,PRIV,Native forest,Qld,1,Unplanned burns only
4,PRIV,Native forest,Qld,1,Unplanned burns only
26,PRIV,Native forest,Qld,1,Unplanned burns only
3599,PRIV,Native forest,Qld,1,Unplanned burns only
17349,PRIV,Native forest,Qld,1,Unplanned burns only
1900,PRIV,Native forest,Qld,2,Unplanned burns only
11755,PRIV,Native forest,Qld,1,Unplanned burns only
32019,PRIV,Native forest,Qld,1,Unplanned burns only
8,PRIV,Native forest,Qld,1,Unplanned burns only
26907,PRIV,Native forest,Qld,2,Unplanned burns only
3,PRIV,Native forest,Qld,2,Unplanned burns only
26871,PRIV,Native forest,Qld,0,Forest not burnt
20109,PRIV,Native forest,Qld,1,Unplanned burns only
23666,PRIV,Native forest,Qld,1,Unplanned burns only
1494,PRIV,Native forest,Qld,3,Unplanned burns only
9,PRIV,Native forest,Qld,1,Unplanned burns only
3582,PRIV,Native forest,Qld,3,Unplanned burns only
14663,PRIV,Native forest,Qld,2,Unplanned burns only
2,PRIV,Native forest,Qld,2,Unplanned burns only
8925,PRIV,Native forest,Qld,2,Planned and Unplanned burns
11322,PRIV,Native forest,Qld,3,Unplanned burns only
40614,PRIV,Native forest,Qld,0,Forest not burnt
2987,PRIV,Native forest,Qld,2,Unplanned burns only
8,PRIV,Native forest,Qld,1,Unplanned burns only
2314,PRIV,Native forest,Qld,0,Forest not burnt
48881,PRIV,Native forest,Qld,0,Forest not burnt
27,PRIV,Native forest,Qld,1,Unplanned burns only
3685,PRIV,Native forest,Qld,1,Planned burns only
8,PRIV,Native forest,Qld,1,Planned burns only
10422,PRIV,Native forest,Qld,2,Unplanned burns only
118419,PRIV,Native forest,Qld,1,Planned burns only
52761,PRIV,Native forest,Qld,2,Unplanned burns only
